id:integer,title:keyword,year:integer,rating:float,details:keyword
0,The Last Stand,2015,4.2,{"title": "The Last Stand"\, "year": 2015\, "genres": "\["Action"\, "Thriller"\]"\, "rating": 4.2\, "director": {"name": "John Smith"\, "age": 50}\, "cast": "\[{"name": "Jane Doe"\, "role": "Agent"}\, {"name": "Tom Lee"\, "role": "Villain"}\]"\, "isReleased": true\, "boxOffice": 10000000}
1,Lost in the Woods,2016,4.5,{"title": "Lost in the Woods"\, "year": 2016\, "genres": "\["Drama"\, "Mystery"\]"\, "rating": 4.5\, "director": {"name": "Emily Carter"\, "age": 42}\, "cast": "\[{"name": "Sam Green"\, "role": "Explorer"}\, {"name": "Anna White"\, "role": "Guide"}\]"\, "isReleased": true\, "boxOffice": 8000000}
2,Shadow City,2017,4.3,{"title": "Shadow City"\, "year": 2017\, "genres": "\["Crime"\, "Action"\]"\, "rating": 4.3\, "director": {"name": "Mike Brown"\, "age": 47}\, "cast": "\[{"name": "Chris Black"\, "role": "Detective"}\, {"name": "Lisa Ray"\, "role": "Hacker"}\]"\, "isReleased": true\, "boxOffice": 12000000}
3,Echoes of Silence,2018,4.7,{"title": "Echoes of Silence"\, "year": 2018\, "genres": "\["Horror"\, "Thriller"\]"\, "rating": 4.7\, "director": {"name": "Sarah King"\, "age": 39}\, "cast": "\[{"name": "Paul Young"\, "role": "Victim"}\, {"name": "Nina Fox"\, "role": "Ghost"}\]"\, "isReleased": true\, "boxOffice": 6000000}
4,The Forgotten Path,2019,4.1,{"title": "The Forgotten Path"\, "year": 2019\, "genres": "\["Adventure"\, "Drama"\]"\, "rating": 4.1\, "director": {"name": "David Clark"\, "age": 55}\, "cast": "\[{"name": "Eve Adams"\, "role": "Traveler"}\, {"name": "Mark Hill"\, "role": "Guide"}\]"\, "isReleased": true\, "boxOffice": 9000000}
5,Neon Skies,2020,4.4,{"title": "Neon Skies"\, "year": 2020\, "genres": "\["Sci-Fi"\, "Action"\]"\, "rating": 4.4\, "director": {"name": "Linda Moore"\, "age": 44}\, "cast": "\[{"name": "Jake Miles"\, "role": "Pilot"}\, {"name": "Sophie Lane"\, "role": "Engineer"}\]"\, "isReleased": true\, "boxOffice": 11000000}
6,Broken Wings,2021,4.6,{"title": "Broken Wings"\, "year": 2021\, "genres": "\["Drama"\, "Romance"\]"\, "rating": 4.6\, "director": {"name": "Peter Evans"\, "age": 51}\, "cast": "\[{"name": "Mia Rose"\, "role": "Dancer"}\, {"name": "Leo Grant"\, "role": "Musician"}\]"\, "isReleased": true\, "boxOffice": 7000000}
7,Silent River,2022,4.8,{"title": "Silent River"\, "year": 2022\, "genres": "\["Mystery"\, "Drama"\]"\, "rating": 4.8\, "director": {"name": "Rachel Scott"\, "age": 46}\, "cast": "\[{"name": "Ben Ford"\, "role": "Detective"}\, {"name": "Clara West"\, "role": "Witness"}\]"\, "isReleased": true\, "boxOffice": 5000000}
8,Midnight Sun,2023,4.0,{"title": "Midnight Sun"\, "year": 2023\, "genres": "\["Romance"\, "Drama"\]"\, "rating": 4.0\, "director": {"name": "Oscar Reed"\, "age": 38}\, "cast": "\[{"name": "Ella Woods"\, "role": "Lover"}\, {"name": "Max Stone"\, "role": "Friend"}\]"\, "isReleased": true\, "boxOffice": 6000000}
9,The Last Voyage,2024,4.9,{"title": "The Last Voyage"\, "year": 2024\, "genres": "\["Adventure"\, "Action"\]"\, "rating": 4.9\, "director": {"name": "Victor Lane"\, "age": 53}\, "cast": "\[{"name": "Tina Bell"\, "role": "Captain"}\, {"name": "Rob Fox"\, "role": "Navigator"}\]"\, "isReleased": true\, "boxOffice": 13000000}
10,Hidden Truths,2015,4.5,{"title": "Hidden Truths"\, "year": 2015\, "genres": "\["Thriller"\, "Mystery"\]"\, "rating": 4.5\, "director": {"name": "Julia Price"\, "age": 41}\, "cast": "\[{"name": "Ian Cole"\, "role": "Reporter"}\, {"name": "Sara Moon"\, "role": "Detective"}\]"\, "isReleased": true\, "boxOffice": 8500000}
11,The Edge,2016,4.2,{"title": "The Edge"\, "year": 2016\, "genres": "\["Action"\, "Adventure"\]"\, "rating": 4.2\, "director": {"name": "Frank Lee"\, "age": 49}\, "cast": "\[{"name": "Alex Kim"\, "role": "Climber"}\, {"name": "Megan Fox"\, "role": "Guide"}\]"\, "isReleased": true\, "boxOffice": 9500000}
12,Blue Horizon,2017,4.3,{"title": "Blue Horizon"\, "year": 2017\, "genres": "\["Drama"\, "Romance"\]"\, "rating": 4.3\, "director": {"name": "Helen Grant"\, "age": 45}\, "cast": "\[{"name": "Luke Perry"\, "role": "Sailor"}\, {"name": "Kate Moss"\, "role": "Artist"}\]"\, "isReleased": true\, "boxOffice": 7800000}
13,Crimson Night,2018,4.4,{"title": "Crimson Night"\, "year": 2018\, "genres": "\["Horror"\, "Thriller"\]"\, "rating": 4.4\, "director": {"name": "George Finn"\, "age": 52}\, "cast": "\[{"name": "Olivia Hart"\, "role": "Survivor"}\, {"name": "Ethan Cole"\, "role": "Monster"}\]"\, "isReleased": true\, "boxOffice": 6200000}
14,The Wanderer,2019,4.1,{"title": "The Wanderer"\, "year": 2019\, "genres": "\["Adventure"\, "Drama"\]"\, "rating": 4.1\, "director": {"name": "Simon Drew"\, "age": 48}\, "cast": "\[{"name": "Nina Lake"\, "role": "Nomad"}\, {"name": "Eric Snow"\, "role": "Guide"}\]"\, "isReleased": true\, "boxOffice": 9100000}
15,Steel Hearts,2020,4.2,{"title": "Steel Hearts"\, "year": 2020\, "genres": "\["Action"\, "Romance"\]"\, "rating": 4.2\, "director": {"name": "Diana Ross"\, "age": 43}\, "cast": "\[{"name": "Matt King"\, "role": "Soldier"}\, {"name": "Jill Hope"\, "role": "Doctor"}\]"\, "isReleased": true\, "boxOffice": 10500000}
16,Glass Tower,2021,4.3,{"title": "Glass Tower"\, "year": 2021\, "genres": "\["Drama"\, "Mystery"\]"\, "rating": 4.3\, "director": {"name": "Brian Cook"\, "age": 54}\, "cast": "\[{"name": "Amy Lee"\, "role": "Architect"}\, {"name": "Dan Fox"\, "role": "Builder"}\]"\, "isReleased": true\, "boxOffice": 7200000}
17,Golden Road,2022,4.4,{"title": "Golden Road"\, "year": 2022\, "genres": "\["Adventure"\, "Comedy"\]"\, "rating": 4.4\, "director": {"name": "Laura Dean"\, "age": 40}\, "cast": "\[{"name": "Chris Lane"\, "role": "Driver"}\, {"name": "Molly Ray"\, "role": "Passenger"}\]"\, "isReleased": true\, "boxOffice": 5600000}
18,Silver Moon,2023,4.5,{"title": "Silver Moon"\, "year": 2023\, "genres": "\["Fantasy"\, "Drama"\]"\, "rating": 4.5\, "director": {"name": "Kevin Nash"\, "age": 37}\, "cast": "\[{"name": "Tara West"\, "role": "Witch"}\, {"name": "Sam Cole"\, "role": "Hunter"}\]"\, "isReleased": true\, "boxOffice": 6100000}
19,Final Hour,2024,4.6,{"title": "Final Hour"\, "year": 2024\, "genres": "\["Thriller"\, "Action"\]"\, "rating": 4.6\, "director": {"name": "Megan Price"\, "age": 56}\, "cast": "\[{"name": "Nick Ford"\, "role": "Agent"}\, {"name": "Lily Grant"\, "role": "Spy"}\]"\, "isReleased": true\, "boxOffice": 14000000}
